name,iso639-3,family-tree
Arifama-Miniafia,aai,"Austronesian,Malayo-Polynesian,Oceanic,Western,Papuan Tip,Kilivila –,Nuclear Papuan Tip,Are–Taupota,Are,Arifama"
Abau,aau,"Sepik,Upper Sepik,Abau"
Ankave,aak,"Trans–New Guinea,Angan,Southwest,Ankave"
Achagua,aca,"Arawakan,Northern,Upper Amazon,Western Nawiki,Piapoko,Achagua"
Inabaknon,abx,"Austronesian,Malayo-Polynesian,Sama–Bajaw,Abaknon"
Gikyode,acd,"Niger–Congo,?,Atlantic–Congo,Kwa,Potou–Tano,Tano,Guang,North,Kyode"
Aneme Wake,aby,"Trans–New Guinea,Yareban,Moikodi–Abia,Aneme Wake"
Ambulas,abt,"Sepik,Middle Sepik,Ndu,Abelam"
Saint Lucian Creole French,acf,"French Creole,Antillean Creole French,Saint Lucian Creole"
Amarasi,aaz,"Austronesian,Malayo-Polynesian,Central–Eastern,Timoric,West Timor,Atoni,Amarasi"
Achinese,ace,"Austronesian,Malayo-Polynesian,Malayo-Sumbawan,Aceh-Chamic,Acehnese"
Achuar-Shiwiar,acu,"Chicham,Achuar"
Achi,acr,"Mayan,Quichean–Mamean,Greater Quichean,Quichean,Quiché–Achi,Achi"
Adele,ade,"Niger–Congo,?,Atlantic–Congo,Kwa,Anii–Adere,Adele"
Acoli,ach,"Nilo-Saharan,?,Eastern Sudanic,Nilotic,Western Nilotic,Luo,Southern Luo,Acholi"
Achang,acn,"Sino-Tibetan,(,Tibeto-Burman,),Lolo–Burmese,Burmish,Burmic,Achang"
Adhola,adh,"Nilo-Saharan,?,Eastern Sudanic,Nilotic,Western Nilotic,Luo,-,Burun,Luo,Southern Luo,Adhola-Alur-Luo,Adhola-Luo,Adhola"
Adi,adi,"Sino-Tibetan,Tani,(some East Tani, some West Tani),Adi"
Galo,adl,"Sino-Tibetan,Tani,Western Tani,Subansiri,Galo"
Akeu,aeu,"Sino-Tibetan,(,Tibeto-Burman,),Lolo–Burmese,Loloish,Southern Loloish,Akha,?,Siloid,?,Akeu"
Adioukrou,adj,"Niger–Congo,?,Atlantic–Congo,Kwa,Adjukru"
Adyghe,ady,"Northwest Caucasian,Circassian,Adyghe"
Amele,aey,"Trans–New Guinea,Madang,Croisilles,linkage,Mabuso,?,Gum,Amele"
Agarabi,agd,"Trans–New Guinea,Kainantu–Goroka,Kainantu,Gauwa,Agarabi"
Afrikaans,afr,"Indo-European,Germanic,West Germanic,Weser-Rhine Germanic,Low Franconian,Dutch,(,Hollandic dialect,),Afrikaans,Dutch-based,pidgin"
Adzera,adz,"Austronesian,Malayo-Polynesian,Oceanic,Western Oceanic,North New Guinea,?,Ngero–Vitiaz,?,Huon Gulf,Markham,Upper,Adzera"
Tunisian Arabic,aeb,"Afro-Asiatic,Semitic,Central Semitic,Arabic,Maghrebi Arabic,Tunisian"
Angaataha,agm,"Trans–New Guinea,Angan,Angaatiha"
Aguaruna,agr,"Chicham,Aguaruna"
Aghul,agx,"Northeast Caucasian,Lezgic,Samur,Eastern Samur,Lezgi–Aghul–Tabasaran,Aghul"
Akha,ahk,"Sino-Tibetan,(,Tibeto-Burman,),Lolo–Burmese,Loloish,Southern,Hanoid,Akha"
Agutaynen,agn,"Austronesian,Malayo-Polynesian,Philippine,Kalamian,Agutaynen"
Central Cagayan Agta,agt,"Austronesian,Malayo-Polynesian,Philippine,Northern Luzon,Cagayan Valley,Gaddangic,Central Cagayan Agta"
Kahua,agw,"Austronesian,Malayo-Polynesian,Oceanic,Southeast Solomonic,Malaita – San Cristobal,San Cristobal,Kahua"
Aguacateco,agu,"Mayan,Quichean–Mamean,Greater Mamean,Ixilan,Awakatek"
Aimol,aim,"Sino-Tibetan,(,Tibeto-Burman,),Kuki-Chin-Mizo,Aimol"
Arosi,aia,"Austronesian,Malayo-Polynesian,Oceanic,Southeast Solomonic,Arosi"
Amri Karbi,ajz,"Sino-Tibetan,Kuki-Chin-Naga,?,Mikir,Amri"
Akawaio,ake,"Cariban,Venezuelan Carib,Pemóng–Panare,Pemóng,Kapóng"
